"Post.Code","2020-03-02","2020-03-09","2020-03-16","2020-03-23","2020-03-30","2020-04-06","2020-04-13","2020-04-20","2020-04-27","2020-05-04","2020-05-11","2020-05-18","2020-05-25","2020-06-01","2020-06-08","2020-06-15","2020-06-22","2020-06-29","2020-07-06","2020-07-13","2020-07-20","2020-07-27"
"AB10",0.236715408229481,0.405898025471443,0.372280065344624,0.43004382683422,0.372027746507766,0.322322369116036,0.398777333717398,0.384022765798955,0.361933793311388,0.338251778904719,0.300515185315046,0.290991683376881,0.223545572604788,0.236607374561881,0.209328477101336,0.131842536192347,0.194789385189502,0.172703513283886,0.183026174119439,0.153074453105029,0.17324549019974,0.193412592134689
"AB11",0.200070271110302,0.372239256614677,0.359195184174521,0.382981047022434,0.406024338196149,0.32373144057501,0.385420320146713,0.429834754863141,0.455871440064183,0.390430879421406,0.330669374687535,0.327592611765751,0.236243637999248,0.214034053749119,0.193085217030279,0.120127570962682,0.165168689615963,0.158931682050604,0.154763963596421,0.130188646611501,0.158955743683175,0.159184624961481
"AB12",0.186414651854203,0.33855662230892,0.362146932524559,0.359474766839559,0.365810420179891,0.338542798799758,0.398275837999229,0.319210152396422,0.346017296417967,0.305838037659558,0.285103258137579,0.30398095314869,0.214645741942192,0.223927801274401,0.19750429984137,0.116403650559747,0.155602294455609,0.15344328457287,0.166078806384408,0.150212818604569,0.16107011347,0.177608693779771
"AB13",0.18969177632527,0.392259889073874,0.374676074817234,0.46707292367364,0.414515774097701,0.40538277085589,0.458645632248973,0.41488727573288,0.468342834670803,0.445881224777561,0.397788625464755,0.400443583963539,0.294957273294445,0.302682185324567,0.271242514253268,0.158718589782591,0.209349968044694,0.191271380980017,0.191351987736238,0.159257904089514,0.177457759089194,0.188696256472691
"AB14",0.173005785568556,0.336861124014382,0.318329282654559,0.406237281294365,0.340339736105356,0.336478892230344,0.384513086745267,0.393530197298943,0.392864154576506,0.414803920400655,0.326778194848337,0.343493462805302,0.233499547816953,0.233616393059236,0.206830561685131,0.11900955497681,0.150184330726476,0.145814173196097,0.137250248911482,0.128951793581294,0.141324626860635,0.162646336051308
"AB15",0.212148455888498,0.377271477457252,0.364375320909432,0.427193013641095,0.394863692491887,0.37053077239341,0.438348386175866,0.382400903320963,0.383431946195657,0.384758504900071,0.34448186491566,0.317725415554561,0.224595150715281,0.27709130755,0.231630964963163,0.157903197372193,0.19638920304022,0.194036779456131,0.187088060938497,0.164726598498404,0.186320658693647,0.225029768879149
"AB16",0.184395637391834,0.363229607133194,0.328859557340703,0.38401954834002,0.364646093848574,0.363744549526199,0.38987904342223,0.383714115956942,0.393234238566232,0.376021541681344,0.314748484213392,0.310137675633904,0.255147893862552,0.270854356356416,0.26255279145564,0.16389502070449,0.197850426856954,0.19577084808199,0.179852672951653,0.145227640319891,0.17497159440888,0.184731306050365
"AB21",0.193720868591978,0.351046914800367,0.348885837598629,0.402613647443759,0.386244743051698,0.334133420655908,0.430183301562954,0.392232406323277,0.370885951489861,0.362509661319421,0.290548794101425,0.277531922243504,0.211347704596722,0.211021168373426,0.201186441467617,0.147056943329946,0.185179574796335,0.19185601160251,0.186882998578839,0.154460461377638,0.173958674225428,0.158838957695991
"AB22",0.201611963248881,0.361072176722478,0.37090529855051,0.4420741979774,0.421092141501915,0.384308914316087,0.4543475110589,0.423206770474256,0.425134993676061,0.372148239130386,0.310661883030446,0.278406531539059,0.213042390445959,0.193918426053224,0.199397926557072,0.121325073463826,0.171979352695942,0.181813585761718,0.178371971453463,0.15192642789621,0.170261480364588,0.165525110237649
"AB23",0.178920594475304,0.35019932317566,0.373713994627564,0.459373534101933,0.422401905843604,0.350527240119887,0.447164095732969,0.40114381823629,0.407006968297186,0.407241937030653,0.336371244493856,0.287140121207176,0.247791763976658,0.216772330727068,0.256486508204416,0.159035256253417,0.210604295452022,0.225938154886246,0.19074213772935,0.163322709120879,0.164105947054393,0.169993923039231
"AB24",0.221025144448481,0.377652723676953,0.385238828680061,0.377398960410288,0.378384088973084,0.342404691534762,0.403693779569208,0.362223007549687,0.345949603702215,0.353818022097086,0.293339300045516,0.300414705681432,0.276354831111597,0.222785857516561,0.256576939149864,0.137418947189,0.196908175309148,0.194706163644755,0.208618421359846,0.150490898514726,0.174385128587329,0.16695154897026
"AB25",0.186880622541421,0.371413776827099,0.352078883029529,0.388463879447757,0.387085817523644,0.351442891464674,0.436697000701737,0.386658596870304,0.377683639071059,0.391840312210731,0.305370432271496,0.285357041462192,0.258339480513847,0.221683134397673,0.213157390220463,0.141130056298557,0.192955075270643,0.19868851117723,0.171154976043154,0.138216343472661,0.18383233838458,0.203034012238664
"AB30",0.163508337291083,0.328771157373207,0.346446327943176,0.390007079976474,0.35658201801924,0.312161844235004,0.421033842084161,0.389170089621224,0.44189828698546,0.446698429058983,0.343867204301715,0.356126135252421,0.244715314996615,0.23756048065195,0.224736481278101,0.128781362087563,0.176241254490844,0.177922550631465,0.161101611701568,0.170348646070642,0.188909984182027,0.183072355112783
"AB31",0.165223202979671,0.329749169453373,0.306412322446296,0.388783757561364,0.324115573613352,0.305543151039516,0.370879954868147,0.374876372418445,0.407123441844505,0.403692280409561,0.313403698399138,0.277086737208894,0.21124476771008,0.202141142514301,0.209384487283265,0.123622974284709,0.156400008222308,0.159452674897104,0.139105830328565,0.158297600988299,0.159380196829711,0.170433359440711
"AB32",0.173944075133248,0.383834268477088,0.313403959809992,0.409348638163131,0.358163692481072,0.344915386686762,0.393415846407035,0.409403765350083,0.451031452580259,0.411095571234149,0.419129807454541,0.384732585647988,0.296863908435683,0.270440009845887,0.284247859821395,0.154669094325582,0.198649389559548,0.205297973847069,0.192447573445558,0.162207342984773,0.194283301537883,0.217816519061712
"AB33",0.174093726763637,0.339025579900996,0.318869200394798,0.464737804377293,0.406973277956354,0.424554532835495,0.434258193746899,0.427989963748721,0.403298386963623,0.405561067317656,0.331078696301956,0.347739129005241,0.26255829941345,0.245067721599729,0.253737396211281,0.140584451371708,0.167004094858137,0.202711740741726,0.165501584769589,0.169656899086653,0.192586529130251,0.196946739691316
"AB34",0.160424208657662,0.341161221232966,0.311302919138895,0.397609322316548,0.331636051314656,0.284747578421801,0.33264842245265,0.32004127945936,0.351709720492752,0.328351550766334,0.26589021998321,0.251275281987914,0.214170053044299,0.181667774651662,0.214822860849379,0.109259506955618,0.134759411044109,0.151254075366649,0.131185843517643,0.129067941545774,0.156038209845452,0.147003214867579
"AB38",0.154486654731775,0.32568453166679,0.306178633109842,0.35733550708023,0.308241825758483,0.305623945456289,0.381003646207249,0.33693522803908,0.398123204981487,0.379633987097673,0.319261660859566,0.363649413524199,0.318243253575314,0.265977083542973,0.303429822462746,0.197585588571841,0.249134447857027,0.245502924114768,0.197268927727945,0.178951170484049,0.177474376349554,0.194296016229011
"AB39",0.170128591760898,0.303739721025061,0.312557851620208,0.380677711115083,0.321644655306197,0.283422462088671,0.315265758245669,0.326264739078964,0.36783619946645,0.362439949375667,0.325305131327385,0.291323263889073,0.194819439684424,0.191693033988603,0.170636643105051,0.105549597914603,0.150579886057456,0.150024012615433,0.163345533484189,0.147490745609636,0.167375980817855,0.180568620895432
"AB41",0.198100512824054,0.285648997570058,0.327031567449797,0.39397462834929,0.315317779398736,0.265021958383818,0.342739877952822,0.336474265574645,0.345579490856435,0.313694277903215,0.273842478932141,0.270993574282595,0.189238281892415,0.193743713785395,0.197460829372838,0.122599206590595,0.200124194422465,0.197390359248572,0.18631941955626,0.144035744922687,0.163410503186978,0.191235015385006
"AB42",0.155534781776634,0.325012100278884,0.313301783148805,0.415088060614813,0.348781964724866,0.365125548143286,0.420103733704558,0.391317238809593,0.325863452414413,0.366545719571211,0.261170792007306,0.273677419998242,0.190529520961911,0.225957059388161,0.211514802896749,0.121541576397327,0.20633174811597,0.198187566637322,0.185507362629401,0.16134145609544,0.143847032280544,0.171379971686571
"AB43",0.193880519540898,0.3138527925095,0.364815197418582,0.441911204681452,0.348952693852815,0.392528130456821,0.380909792293958,0.38181284602699,0.362103422867808,0.357938223829895,0.282854810175066,0.290713682643962,0.200507825161816,0.194081548403254,0.175553019075978,0.112522929811789,0.188000861647428,0.186888587089752,0.172109355576753,0.138703767146536,0.125935273304336,0.147849761480039
"AB44",0.173861529004591,0.347892517807991,0.360381060287515,0.463800649062819,0.434173047080084,0.458874599271336,0.470048770894761,0.454815438613564,0.39001823876546,0.402926560334386,0.25811299714097,0.301815130217071,0.187352601440247,0.18490298939118,0.207153150371234,0.1217319695862,0.186111547770802,0.197352966068834,0.167459752034693,0.163619688576311,0.153017767834775,0.215586271207324
"AB45",0.166240114947593,0.232651971004709,0.276433094729989,0.398023905524758,0.306756416203671,0.353494068899786,0.369823074658787,0.337082279609583,0.291885571305338,0.293382880153189,0.216304895192005,0.269238589271964,0.166440323435909,0.181799372099633,0.212808488511656,0.123603848645315,0.171113044669976,0.182503477353882,0.145877621823039,0.134843529110653,0.134314390897612,0.150107996845847
"AB51",0.178879974331931,0.354491951322122,0.336645013225438,0.415868592264907,0.382835860395591,0.355774169220555,0.382992225072451,0.362434719400657,0.348951663215029,0.306514833498838,0.281162822752358,0.297693677285819,0.208509917457547,0.188438665060383,0.205179658028669,0.126119019596411,0.159177993564651,0.188879582373972,0.165119280942827,0.151926576657342,0.147351928226534,0.172572498513793
"AB52",0.161311651753351,0.325497729325338,0.278466167060868,0.385577698665995,0.322822762395173,0.357743805766372,0.377521357468157,0.393973053440839,0.340116557133511,0.351312305134382,0.298320427699991,0.328193151877753,0.236833495967157,0.194539321925264,0.198526223282169,0.106445386399535,0.138439092698523,0.159116609828122,0.161205098699836,0.149044059968,0.163131502305427,0.17260130794677
"AB53",0.16244961238728,0.290695856249962,0.269626526730442,0.373457016765327,0.316287241386577,0.365206175952015,0.379339123688052,0.362622220634638,0.347973505788534,0.350972612036959,0.260945492560028,0.293274544405542,0.199548963496535,0.19753049658247,0.215727906605416,0.121005555441875,0.212376760527527,0.210235579253643,0.199344630702806,0.175328363652197,0.180057824576248,0.217453196227438
"AB54",0.153532820140182,0.324802665703596,0.27978158966398,0.391396505030721,0.302342344234292,0.3211739407164,0.349485068895283,0.356728412888367,0.32258292634303,0.347984911665359,0.24728371026275,0.284251327188162,0.214611581728763,0.1933268255213,0.218719129405395,0.127511108183006,0.156982532710205,0.175657941654377,0.139911658184607,0.151062648175907,0.142243767797735,0.158145620739237
"AB55",0.156261462782449,0.328755336209752,0.278364081154544,0.347172692849371,0.273821324609929,0.313382541065909,0.36248881445186,0.366473337610225,0.37146569446666,0.393476699314032,0.298944158930148,0.329155745500769,0.280171935977889,0.281296595073651,0.26625910267506,0.160973357852176,0.194615466037562,0.250615601716248,0.185998231625981,0.178674322150181,0.174518653338223,0.238827601477948
"AB56",0.170008453853626,0.246635862199768,0.274754740518828,0.319576620941438,0.321899021345096,0.287682864698029,0.368351815289205,0.33476184692815,0.394871763585936,0.416013088393157,0.307776367261553,0.392668301565619,0.276979201448237,0.245077669744236,0.289942654338315,0.158064951908053,0.224735148742413,0.223672245734189,0.151237554465901,0.137402412869221,0.120522597387083,0.15534635117915
"DD1",0.150666670990513,0.351540131004523,0.30966028125159,0.399402193330893,0.341950876740865,0.273050589275454,0.316727930935182,0.267492695813356,0.225054445377229,0.197195357667234,0.190593538004779,0.215263037213396,0.155410353763667,0.179756445415617,0.161864407127932,0.135382756091095,0.165266086010822,0.160895110009451,0.131765081998255,0.142059196182168,0.122744553866071,0.111887963055913
"DD10",0.16582636085361,0.318427408670161,0.333731466804658,0.355642235873702,0.312513930712238,0.245392991303927,0.296553838078272,0.271204183264795,0.329702354657454,0.253175895895604,0.193644318734524,0.156331606471158,0.129288037498401,0.137575121079596,0.127037328738378,0.0940333948455474,0.143636500373033,0.100449750010196,0.100985900312416,0.113120611487617,0.118797718267369,0.102952836432701
"DD11",0.165995308952593,0.366003397537701,0.280033274145799,0.378122851868179,0.357898515119296,0.289688599224095,0.305492541217251,0.297072179683757,0.23683458367729,0.218621209913314,0.1869139637825,0.177159445581181,0.135119261658086,0.153604365079181,0.138930483343839,0.11905808180794,0.127974584547399,0.107565930255669,0.102288527413239,0.1376844966204,0.108754287827553,0.0931620547351964
