"Post.Code","covidest","covidprobinc","SE1est","SE1probinc"
"AB10",0.00827650119129732,0.636666666666667,0.00620847166140385,0.611333333333333
"AB11",-0.00594963732816531,0.393333333333333,-0.0065745707019946,0.372
"AB12",0.011470598693362,0.703666666666667,0.00898734794239547,0.675333333333333
"AB13",-0.00103970103591872,0.487,-0.00267091973240394,0.465666666666667
"AB14",-0.00889811137755908,0.345333333333333,-0.00857932177976214,0.331666666666667
"AB15",-0.00988165153711475,0.329,-0.00985039695410499,0.309666666666667
"AB16",-0.017496778139707,0.202,-0.0160800369832547,0.181666666666667
"AB21",-0.00693041336588818,0.397333333333333,-0.00680997527693238,0.366
"AB22",-0.00470506551086272,0.418333333333333,-0.00572565919350355,0.385666666666667
"AB23",-0.033919222249323,0.126,-0.0313110675899775,0.118666666666667
"AB24",0.0140373805325066,0.725,0.0103925889638878,0.701666666666667
"AB25",-0.0322438470112891,0.0973333333333333,-0.0289678936074334,0.0803333333333333
"AB30",-0.0221230521040909,0.229666666666667,-0.019822237688637,0.217333333333333
"AB31",-0.0222821698074918,0.165666666666667,-0.0194313681645313,0.152333333333333
"AB32",-0.0181737387223019,0.237,-0.0171517861319504,0.227333333333333
"AB33",-0.0423121950920928,0.093,-0.0371595541648425,0.085
"AB34",-0.0230874267012589,0.212333333333333,-0.019919776682587,0.198333333333333
"AB38",-0.052140674998824,0.086,-0.0466987621429019,0.078
"AB39",0.0106956468435571,0.662666666666667,0.00772922076586133,0.639666666666667
"AB41",-0.0126823271993022,0.327,-0.0125332332307034,0.309666666666667
"AB42",-0.0114729288376738,0.321,-0.0110685659198918,0.310333333333333
"AB43",-0.0121227450332731,0.339666666666667,-0.0113100804854266,0.329
"AB44",-0.0280910410351916,0.195666666666667,-0.0246137848537877,0.180333333333333
"AB45",-0.0361044742013341,0.121333333333333,-0.0316428847979976,0.115666666666667
"AB51",-0.0215653837274539,0.174333333333333,-0.0201038688242531,0.148
"AB52",-9.95264309564814e-05,0.499666666666667,-0.00129954250289896,0.482333333333333
"AB53",-0.0154545821533225,0.315666666666667,-0.0151738343758204,0.302333333333333
"AB54",-0.0347436546442658,0.0786666666666667,-0.0300824574622691,0.0706666666666667
"AB55",-0.0626107097471698,0.047,-0.0557857362461786,0.0433333333333333
"AB56",-0.0691622478926991,0.0173333333333333,-0.0608698342826248,0.016
"DD1",-0.0280057278825961,0.098,-0.0240932771878797,0.0953333333333333
"DD10",-0.00020962298578351,0.494333333333333,-0.00125496950354878,0.471333333333333
"DD11",-0.00479415547602453,0.388666666666667,-0.00465012975074264,0.367
"DD2",-0.0148074245663619,0.227,-0.0136698488703943,0.208333333333333
"DD3",-0.00955276741827253,0.28,-0.00922508201248246,0.257
"DD4",-0.0390573507797786,0.005,-0.0337861344973995,0.004
"DD5",-0.0125154544968814,0.252666666666667,-0.0112568819735531,0.235
"DD6",-0.0401849857884146,0.041,-0.0345791154395149,0.031
"DD7",-0.0206871180459348,0.203,-0.0182983715997953,0.191333333333333
"DD8",0.0060421538622834,0.618,0.00371040024673021,0.594333333333333
"DD9",-0.0046191496541962,0.405666666666667,-0.00476540698723273,0.385
"DG1",0.0180671871702196,0.766333333333333,0.0150944478883079,0.761
"DG10",0.0101612599331177,0.615333333333333,0.00774291517394104,0.612333333333333
"DG11",-0.0024992942606826,0.47,-0.00266297724869563,0.451
"DG12",-0.0305582715514887,0.174666666666667,-0.0271590579329447,0.176
"DG13",-0.0226178680335599,0.217666666666667,-0.0192973113919256,0.212
"DG14",-0.0571952165429084,0.095,-0.0508437174685544,0.0933333333333333
"DG16",-0.0225082269594263,0.288,-0.0199292083714463,0.293
"DG2",-0.0284506442785727,0.129333333333333,-0.0255253453764273,0.128333333333333
"DG3",-0.0142719989986889,0.333333333333333,-0.0128476212217963,0.324666666666667
