"","Post.Code","relative","absolute"
"1","AB10",0.957,0.398666666666667
"2","AB11",0.489666666666667,0.0286666666666667
"3","AB12",0.813333333333333,0.147333333333333
"4","AB13",0.829333333333333,0.366666666666667
"5","AB14",0.547,0.088
"6","AB15",1,0.894666666666667
"7","AB16",0.935,0.171333333333333
"8","AB21",0.481,0.0143333333333333
"9","AB22",0.614,0.0733333333333333
"10","AB23",0.672333333333333,0.108666666666667
"11","AB24",0.663,0.0313333333333333
"12","AB25",0.984666666666667,0.562
"13","AB30",0.815,0.286
"14","AB31",0.685333333333333,0.127333333333333
"15","AB32",0.995333333333333,0.754333333333333
"16","AB33",0.881333333333333,0.463
"17","AB34",0.338666666666667,0.0416666666666667
"18","AB38",0.870333333333333,0.440333333333333
"19","AB39",0.809333333333333,0.207666666666667
"20","AB41",0.929666666666667,0.36
"21","AB42",0.742666666666667,0.0586666666666667
"22","AB43",0.288,0.00933333333333333
"23","AB44",0.960333333333333,0.665333333333333
"24","AB45",0.343666666666667,0.0286666666666667
"25","AB51",0.768333333333333,0.084
"26","AB52",0.662666666666667,0.207333333333333
"27","AB53",0.988,0.735
"28","AB54",0.473666666666667,0.049
"29","AB55",0.992666666666667,0.885666666666667
"30","AB56",0.425,0.03
"31","DD1",0.003,0
"32","DD10",0.00233333333333333,0
"33","DD11",0,0
"34","DD2",0,0
"35","DD3",0.00466666666666667,0
"36","DD4",0.000666666666666667,0
"37","DD5",0.00666666666666667,0
"38","DD6",0.0593333333333333,0.000333333333333333
"39","DD7",0.004,0
"40","DD8",0.0136666666666667,0
"41","DD9",0.005,0
"42","DG1",0.219,0.00366666666666667
"43","DG10",0.140666666666667,0.0146666666666667
"44","DG11",0.059,0.00133333333333333
"45","DG12",0.089,0.00166666666666667
"46","DG13",0.0263333333333333,0.002
"47","DG14",0.219666666666667,0.0403333333333333
"48","DG16",0.441,0.0866666666666667
"49","DG2",0.349,0.013
"50","DG3",0.522333333333333,0.128666666666667
"51","DG4",0.462,0.0746666666666667
"52","DG5",0.337,0.0416666666666667
"53","DG6",0.172666666666667,0.0126666666666667
"54","DG7",0.305333333333333,0.0213333333333333
"55","DG8",0.118333333333333,0.00366666666666667
"56","DG9",0.0843333333333333,0.001
"57","EH1",0.562,0.081
"58","EH10",0.0226666666666667,0
"59","EH11",0.356,0.00566666666666667
"60","EH12",0.494333333333333,0.0133333333333333
"61","EH13",0.299,0.0136666666666667
"62","EH14",0.734333333333333,0.052
"63","EH15",0.107333333333333,0
"64","EH16",0.0166666666666667,0
"65","EH17",0.0263333333333333,0
"66","EH18",0.472,0.0736666666666667
"67","EH19",0.0616666666666667,0
"68","EH2",0.194666666666667,0.00933333333333333
"69","EH20",0.006,0
"70","EH21",0.0846666666666667,0.000666666666666667
"71","EH22",0.0706666666666667,0
"72","EH23",0.379,0.024
"73","EH24",0.756,0.271666666666667
"74","EH25",0.239333333333333,0.0226666666666667
"75","EH26",0.807,0.169666666666667
"76","EH27",0.777333333333333,0.297333333333333
"77","EH28",0.796333333333333,0.261
"78","EH29",0.826333333333333,0.359
"79","EH3",0.01,0
"80","EH30",0.998666666666667,0.919
"81","EH31",0.402333333333333,0.0733333333333333
"82","EH32",0.243,0.00633333333333333
"83","EH33",0.714,0.109
"84","EH34",0.269666666666667,0.033
"85","EH35",0.187666666666667,0.0146666666666667
"86","EH37",0.121666666666667,0.00533333333333333
"87","EH39",0.911,0.472
"88","EH4",0.0936666666666667,0
"89","EH41",0.08,0.002
"90","EH42",0.346,0.0313333333333333
"91","EH44",0.774333333333333,0.317
"92","EH45",0.109666666666667,0.00333333333333333
"93","EH46",0.784,0.305666666666667
"94","EH47",0.228666666666667,0.00266666666666667
"95","EH48",0.563,0.0163333333333333
"96","EH49",0.847,0.32
"97","EH5",0.360333333333333,0.0143333333333333
"98","EH51",0.876,0.312
"99","EH52",0.869,0.186333333333333
"100","EH53",0.931,0.459
"101","EH54",0.656,0.0126666666666667
"102","EH55",0.743666666666667,0.190666666666667
"103","EH6",0.971,0.365333333333333
"104","EH7",0.0883333333333333,0
"105","EH8",0.674333333333333,0.073
"106","EH9",0.0316666666666667,0
"107","FK1",0.995333333333333,0.742
"108","FK10",0.768,0.0566666666666667
"109","FK11",0.773,0.268333333333333
"110","FK12",0.801333333333333,0.317
"111","FK13",0.821666666666667,0.344
"112","FK14",0.540666666666667,0.116
"113","FK15",0.452333333333333,0.05
"114","FK16",0.296333333333333,0.0376666666666667
"115","FK17",0.6,0.161333333333333
"116","FK2",0.408333333333333,0.00366666666666667
"117","FK3",0.0783333333333333,0.000666666666666667
"118","FK4",0.776666666666667,0.161333333333333
"119","FK5",0.221333333333333,0.004
"120","FK6",0.403,0.0473333333333333
"121","FK7",0.43,0.008
"122","FK8",0.828666666666667,0.214333333333333
"123","FK9",0.737,0.204666666666667
"124","G11",0.0463333333333333,0
"125","G12",0.0233333333333333,0.000333333333333333
"126","G13",0.757333333333333,0.059
"127","G14",0.296,0.00433333333333333
"128","G15",0.642666666666667,0.0486666666666667
"129","G2",0.179666666666667,0.00933333333333333
"130","G20",0.583333333333333,0.0166666666666667
"131","G21",0.677,0.0366666666666667
"132","G22",0.045,0
"133","G23",0.248,0.00933333333333333
"134","G3",0.186666666666667,0.000666666666666667
"135","G31",0.759,0.0736666666666667
"136","G32",0.806,0.051
"137","G33",0.882333333333333,0.142333333333333
"138","G34",0.152333333333333,0.00333333333333333
"139","G4",0.204,0.00933333333333333
"140","G40",0.087,0.000333333333333333
"141","G41",0.772333333333333,0.0733333333333333
"142","G42",0.01,0
"143","G43",0.918,0.36
"144","G44",0.396666666666667,0.0153333333333333
"145","G45",0.794333333333333,0.136
"146","G46",0.136333333333333,0.000333333333333333
"147","G5",0.754333333333333,0.139333333333333
"148","G51",0.28,0.003
"149","G52",0.208333333333333,0.00133333333333333
"150","G53",0.186666666666667,0
"151","G60",0.798666666666667,0.287666666666667
"152","G61",0.458666666666667,0.0283333333333333
"153","G62",0.394333333333333,0.027
